Event_id,Sport,Event
0,Tug-Of-War,Tug-Of-War Men's Tug-Of-War
1,Swimming,Swimming Men's 200 metres Breaststroke
2,Swimming,Swimming Men's 400 metres Breaststroke
3,Gymnastics,Gymnastics Men's Individual All-Around
4,Gymnastics,Gymnastics Men's Team All-Around
5,Gymnastics,Gymnastics Men's Horse Vault
6,Gymnastics,Gymnastics Men's Pommelled Horse
7,Handball,Handball Women's Handball
8,Gymnastics,"Gymnastics Men's Team All-Around, Free System"
9,Hockey,Hockey Women's Hockey
10,Rowing,Rowing Men's Lightweight Double Sculls
11,Football,Football Women's Football
12,Sailing,Sailing Mixed 8 metres
13,Cycling,"Cycling Men's Road Race, Team"
14,Rowing,Rowing Men's Coxless Pairs
15,Fencing,"Fencing Men's epee, Individual"
16,Taekwondo,Taekwondo Women's Flyweight
17,Athletics,Athletics Women's Javelin Throw
18,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
19,Handball,Handball Men's Handball
20,Football,Football Men's Football
21,Water Polo,Water Polo Men's Water Polo
22,Wrestling,"Wrestling Men's Featherweight, Freestyle"
23,Sailing,Sailing Mixed Two Person Heavyweight Dinghy
24,Athletics,"Athletics Men's 1,500 metres"
25,Cycling,Cycling Women's Sprint
26,Fencing,"Fencing Men's Sabre, Team"
27,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
28,Modern Pentathlon,Modern Pentathlon Men's Individual
29,Rowing,Rowing Men's Quadruple Sculls
30,Rowing,Rowing Men's Double Sculls
31,Rowing,Rowing Men's Coxed Pairs
32,Hockey,Hockey Men's Hockey
33,Golf,Golf Women's Individual
34,Softball,Softball Women's Softball
35,Taekwondo,Taekwondo Women's Featherweight
36,Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
37,Swimming,Swimming Women's 4 x 100 metres Medley Relay
38,Boxing,Boxing Men's Light-Welterweight
39,Wrestling,"Wrestling Men's Flyweight, Freestyle"
40,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
41,Basketball,Basketball Men's Basketball
42,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
43,Athletics,Athletics Men's Hammer Throw
44,Athletics,"Athletics Men's 10,000 metres"
45,Gymnastics,Gymnastics Women's Team All-Around
46,Diving,Diving Women's Synchronized Springboard
47,Sailing,Sailing Mixed 7 metres
48,Rowing,Rowing Men's Coxed Eights
49,Athletics,Athletics Men's Marathon
50,Athletics,Athletics Men's Long Jump
51,Athletics,Athletics Men's Triple Jump
52,Baseball,Baseball Men's Baseball
53,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
54,Athletics,"Athletics Women's 5,000 metres"
55,Wrestling,"Wrestling Men's Middleweight, Freestyle"
56,Athletics,Athletics Men's 4 x 400 metres Relay
57,Gymnastics,Gymnastics Men's Floor Exercise
58,Gymnastics,Gymnastics Men's Rings
59,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
60,Fencing,"Fencing Men's Foil, Individual"
61,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
62,Swimming,Swimming Men's 4 x 100 metres Medley Relay
63,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman"
64,Athletics,Athletics Men's 100 metres
65,Athletics,Athletics Men's 4 x 100 metres Relay
66,Volleyball,Volleyball Men's Volleyball
67,Volleyball,Volleyball Women's Volleyball
68,Basketball,Basketball Women's Basketball
69,Wrestling,"Wrestling Men's Lightweight, Freestyle"
70,Cycling,"Cycling Men's Mountainbike, Cross-Country"
71,Taekwondo,Taekwondo Men's Featherweight
72,Fencing,"Fencing Men's epee, Team"
73,Boxing,Boxing Men's Welterweight
74,Wrestling,"Wrestling Men's Flyweight, Greco-Roman"
75,Cycling,Cycling Men's 100 kilometres Team Time Trial
76,Boxing,Boxing Men's Featherweight
77,Boxing,Boxing Men's Bantamweight
78,Rowing,Rowing Women's Coxed Eights
79,Rowing,Rowing Women's Quadruple Sculls
80,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System"
81,Boxing,Boxing Men's Heavyweight
82,Boxing,Boxing Men's Lightweight
83,Modern Pentathlon,Modern Pentathlon Men's Team
84,Fencing,"Fencing Men's Foil, Team"
85,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
86,Athletics,Athletics Men's Standing High Jump
87,Athletics,Athletics Men's Standing Long Jump
88,Swimming,Swimming Men's Plunge For Distance
89,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
90,Judo,Judo Men's Lightweight
91,Judo,Judo Men's Half-Middleweight
92,Boxing,Boxing Women's Flyweight
93,Athletics,Athletics Women's Shot Put
94,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
95,Canoeing,"Canoeing Men's Canadian Doubles, Slalom"
96,Athletics,Athletics Men's 400 metres Hurdles
97,Sailing,Sailing Mixed Three Person Keelboat
98,Equestrianism,"Equestrianism Men's Dressage, Team"
99,Equestrianism,"Equestrianism Men's Three-Day Event, Team"
100,Tennis,"Tennis Women's Singles, Covered Courts"
101,Diving,Diving Men's Platform
102,Diving,Diving Men's Plain High
103,Swimming,Swimming Women's 400 metres Freestyle
104,Swimming,Swimming Women's 800 metres Freestyle
105,Swimming,Swimming Men's 100 metres Freestyle
106,Swimming,Swimming Men's 50 metres Freestyle
107,Athletics,Athletics Women's 4 x 400 metres Relay
108,Rowing,Rowing Women's Coxed Quadruple Sculls
109,Rugby Sevens,Rugby Sevens Men's Rugby Sevens
110,Gymnastics,Gymnastics Women's Horse Vault
111,Rowing,Rowing Men's Coxless Fours
112,Tennis,Tennis Men's Singles
113,Judo,Judo Women's Half-Middleweight
114,Sailing,Sailing Mixed 6 metres
115,Swimming,Swimming Men's 200 metres Freestyle
116,Fencing,"Fencing Women's Foil, Team"
117,Rowing,Rowing Men's 17-Man Naval Rowing Boats
118,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
119,Weightlifting,Weightlifting Women's Flyweight
120,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman"
121,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman"
122,Equestrianism,"Equestrianism Mixed Jumping, Team"
123,Badminton,Badminton Mixed Doubles
124,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
125,Swimming,Swimming Women's 100 metres Butterfly
126,Water Polo,Water Polo Women's Water Polo
127,Weightlifting,Weightlifting Men's Heavyweight
